Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TBL1 22424771 ChIP-Seq 293T Human	38/2000	0.07343644354711991	0.1897357908788853	0	0	1.3163555836760519	3.4374453560874936	RYR2;PDE3B;ELAVL4;ASAP3;FMN2;CACNA1C;TSPAN11;CDC14A;RAP1GAP;FAM171A1;GRM5;PALMD;TSPAN9;KIF5B;PRDM16;PLXNA2;TNR;NCAM1;CD55;SOX5;RGS7;SLC38A1;SWAP70;MYOF;ARHGAP29;SYT14;PROX1;PLXDC2;ATP1B1;PTPN14;DHRS3;DNM3;NFASC;TCERG1L;NFIA;DNAJC6;RIMBP2;DOCK1
FOXA1 26769127 Chip-Seq PDAC-Cell line Human	38/2000	0.07343644354711991	0.1897357908788853	0	0	1.3163555836760519	3.4374453560874936	YAP1;SP100;EPAS1;FGF1;CDC14A;ZFP36L1;DPP4;ALCAM;MECOM;RASGEF1B;NRCAM;LRRFIP1;ACSS1;E2F7;SOX5;WWTR1;TCF7L2;ANXA2;ATP8B1;SWAP70;MYOF;RASSF9;PROX1;OSMR;ATP1B1;SMAD6;PTPN13;CP;MEIS2;PTPN14;DHRS3;ACSF2;SMAD7;EML5;NFASC;CLIP4;BCL2;MALAT1
IRF4 20064451 ChIP-Seq CD4+T Mouse	21/1000	0.0740714609119058	0.18982686136532945	0	0	1.444588149704955	3.759865639583072	TCF7L2;EYA1;DAPK1;HSPA4L;MYOF;MGST1;CELF4;AHR;SMAD6;DPP4;CLDN10;PCLO;PTPRZ1;TSPAN9;DCHS2;SCN9A;BCL2;LCP1;FREM1;SLC18A1;E2F7
CBP 20019798 ChIP-Seq JUKART Human	21/1000	0.0740714609119058	0.18982686136532945	0	0	1.444588149704955	3.759865639583072	TCF7L2;EYA1;DAPK1;HSPA4L;MYOF;MGST1;CELF4;AHR;SMAD6;DPP4;CLDN10;PCLO;PTPRZ1;TSPAN9;DCHS2;SCN9A;BCL2;LCP1;FREM1;SLC18A1;E2F7
IRF1 19129219 ChIP-ChIP H3396 Human	6/196	0.07456645609940651	0.1900699239567827	0	0	2.1028561164002157	5.459150160838732	FUT8;NLGN1;PTPRN2;RARB;SNTB1;STXBP5L
RXR 22108803 ChIP-Seq LS180 Human	13/555	0.07476684212517992	0.1900699239567827	0	0	1.6067594766856759	4.166939143921694	GRID2;ANXA2;DST;PON2;KCNJ15;NOD1;ESR1;MECOM;NFIA;IRAK2;KIF5B;EPSTI1;RIMBP2
TP53 16413492 ChIP-PET HCT116 Human	11/449	0.07552656352997456	0.19123325885789558	0	0	1.6797707382039573	4.339302782302981	GPR39;TCF7L2;GRM5;NLGN1;HGF;NEDD4L;FGF1;LTBP1;PTPN14;RGS7;SYNE1
TCF3 18692474 ChIP-Seq MESCs Mouse	27/1351	0.07599944964980535	0.19166395071046527	0	0	1.3777851208459215	3.5505924604266834	PTPRT;DDC;CHD7;PREP;SEMA3E;NOD1;LPP;ZFP36L1;PALMD;TSPAN9;SPP1;DMD;NCAM1;MAGI1;WWTR1;GABRP;DST;KCNJ15;ARHGAP24;SMAD7;NFASC;KITL;PTK7;CDH13;KIFC3;PDE7A;RAI14
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	24/1182	0.07936070460737842	0.199346531811391	0	0	1.397494112105511	3.5409034140856006	SNAP25;TCF7L2;ST6GAL1;RBM47;SYT1;DENND4A;HGF;SWAP70;KCNJ15;RASSF9;CPLX2;PTPN13;EGFR;ZFP36L1;DPP4;ALCAM;SPP1;BCL2;NRCAM;NCAM1;ACSS1;PDE7A;CD55;IL18R1
EGR1 19374776 ChIP-ChIP THP-1 Human	3/68	0.08166991897316614	0.2043362004348386	0	0	3.0617463617463616	7.669887530841718	AHI1;SMAD3;DAPK1
DROSHA 22980978 ChIP-Seq HELA Human	11/456	0.08209299817386717	0.20458609387424379	0	0	1.6527465667915107	4.13170535728729	TMEM132D;PEX5L;AUTS2;PITPNM3;COL23A1;CACNA2D3;CELF4;RARB;CACNA1A;DHRS3;MOB3B
POU5F1 16153702 ChIP-ChIP HESCs Human	14/622	0.0849952461845549	0.21023967040833336	0	0	1.542601569713758	3.802759610465222	EPHA4;GRID2;NFIX;CACNA2D1;SEMA3A;PROX1;RORB;PPP2R3A;FGF1;MEIS2;DHRS3;ZFP36L1;NFIA;SOX5
SCL 19346495 ChIP-Seq HPC-7 Human	7/252	0.08502583826940496	0.21023967040833336	0	0	1.9037181996086106	4.692284787910391	AHI1;POR;NFIX;KIFC3;ANK;RUNX1;RAI14
SRY 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse	55/3083	0.08954603769993218	0.22016218566423595	0	0	1.241168492972692	2.9949425501687355	CYFIP2;GABRB3;RYR2;ZFP521;WWC2;ELAVL4;FMN1;FGF1;SLC4A4;ZFP809;MECOM;NETO1;DNER;EPSTI1;NRCAM;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;LIMCH1;COL23A1;ATP1B1;UPK3A;GPRIN3;DNM3;CLDN10;POR;TCERG1L;DNAJC6;RAI14;NLGN1;CACNA1C;SNX30;LTBP1;EGFR;SEL1L3;STXBP6;CCDC141;TRPM6;SAMD4;RUNX1T1;GABRP;NFATC2;SYT14;PTPN14;ACSF2;NET1;GNAO1;MYO1D;CCDC88A;NFASC;SDC1;SPATS2L;IL18R1
GATA1 19941826 ChIP-Seq K562 Human	20/967	0.08973435055509144	0.22016218566423595	0	0	1.419612206817984	3.4225453889100006	ST6GAL1;SMAD3;PPP1R14C;EPAS1;COL23A1;NFATC2;IQGAP2;SMAD6;LTBP1;RAP1GAP;RUNX1;MYO1D;FAM171A1;AHI1;DCHS2;DNAJC6;SCGB1A1;NAF1;ZFPM2;RAI14
EWS 26573619 Chip-Seq HEK293 Human	18/854	0.09087907623126498	0.22192381276922526	0	0	1.445495411125679	3.4666239388613103	EPHA4;GRID2;PCDH9;DENND4A;HGF;DOCK8;REV1;PROX1;IQGAP2;PLXDC2;SLC4A4;ROBO1;SYNE1;TCERG1L;PTPRZ1;CPEB2;DOCK1;RUNX1T1
NR4A2 19515692 ChIP-ChIP MN9D Mouse	6/207	0.09115354078988716	0.22192381276922526	0	0	1.9866537619071876	4.75845282368255	RAB3C;SNAP25;TCF7L2;MTUS1;ELAVL4;RUNX1T1
FOXP3 17237761 ChIP-ChIP TREG Mouse	7/257	0.09198292880846953	0.22218987546457467	0	0	1.8651643835616438	4.450566238167316	SP100;SMAD3;BCL6;BCL2;PTPRK;AHR;PDE7A
ELK4 26923725 Chip-Seq MESODERM Mouse	11/466	0.09207334447547967	0.22218987546457467	0	0	1.6155830280830281	3.853439843107866	ABCC3;TCF7L2;SH2D4A;PRDM16;REV1;CELF4;CACNA1A;CDH13;LRRFIP1;MCTP2;LTBP1
ELF5 23300383 ChIP-Seq T47D Human	22/1087	0.09261052376748842	0.22218987546457467	0	0	1.3897798342400975	3.306776117754166	YAP1;NLGN1;PREP;MGST1;NTN4;SEMA3E;NOD1;HNMT;TC2N;MEIS2;EGFR;RUNX1;NFIA;DMXL2;RIMBP2;MALAT1;STXBP6;MPDZ;CD55;SNTB1;RAI14;HCN1
PRDM5 23873026 ChIP-Seq MEFs Mouse	21/1029	0.09266686749233445	0.22218987546457467	0	0	1.4008543165467626	3.332274202094602	PON3;DDC;PPP1R14C;AUTS2;DAPK1;PON2;CHD7;MTUS1;PTPRK;IQGAP2;SNX30;EGFR;VEGFA;POR;PTK7;WNK2;DMD;PDE7A;MET;SNTB1;LRP11
EOMES 20176728 ChIP-ChIP TSCs Mouse	33/1744	0.0951337944583568	0.2272441203476976	0	0	1.3044080100895137	3.068582036088549	PTPRT;NOTCH3;DDC;NLGN1;ZFP521;WWC2;NTN4;NEDD4L;CACNA1C;LPP;NPAS2;ZFP36L1;RIMS2;STOX2;TSPAN9;IRAK2;LRRFIP1;CD55;EPHA4;SLC38A1;SMAD3;ANXA2;DAPK1;ATP8B1;MICAL3;SMAD6;PTPN13;RUNX1;SMAD7;MYO1D;NFASC;MDFIC;RAI14
ZIC3 20872845 ChIP-ChIP MESCs Mouse	9/365	0.0984595783147875	0.23430418448594167	0	0	1.6864103060829136	3.909283224372556	KITL;CACNA2D1;SLCO4C1;SDC1;SMAD6;LPP;ZFP36L1;SYNE1;HCN1
MYB 21317192 ChIP-Seq ERMYB Mouse	19/923	0.09969343614553398	0.23593295330614028	0	0	1.4109631795195954	3.2531949308298533	TCF7L2;PPP1R14C;SWAP70;CHD7;PLCL2;NOD1;LPP;RAP1GAP;ARHGAP24;RUNX1;ZFP36L1;MYO1D;POR;FUT8;ALCAM;BCL6;BCL2;LRRFIP1;LCP1
FOXO3 23340844 ChIP-Seq DLD1 Human	15/695	0.09988946522282084	0.23593295330614028	0	0	1.4773974730737365	3.4034673391346604	MAGI1;EPHA4;RBM47;SWAP70;FMN1;FMN2;PTPRK;PLXDC2;PTPN13;PTPN14;VEGFA;KIF5B;STXBP6;ACSS1;LRP11
CDX2 22108803 ChIP-Seq LS180 Human	37/2000	0.10235018864071706	0.23731747036473957	0	0	1.2761002204913028	2.908685576036301	SP100;ASAP3;PTPRK;RORB;LTBP1;TSPAN11;EGFR;SEL1L3;SYNE1;FAM171A1;PCLO;IRAK2;CDH20;SCN9A;EPSTI1;NCAM1;CCDC141;ACSS1;TCF7L2;SLC38A1;ANXA2;AUTS2;VWF;EYA1;SWAP70;COL23A1;MYOF;CADPS;FMO2;SYT14;TC2N;ATP1B1;FAM135A;FREM1;PAM;SNTB1;RAI14
CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse	37/2000	0.10235018864071706	0.23731747036473957	0	0	1.2761002204913028	2.908685576036301	NOTCH3;SEMA3A;MGST1;GSTT1;NOD1;SLC4A4;LPP;LTBP1;CDC14A;SELENBP1;AOX3;SPP1;AOX1;TRPM6;SLC18A1;RUNX1T1;WWTR1;SMAD3;ANXA2;EYA1;SWAP70;ATP11A;OSMR;ATP1B1;CP;MEIS2;ARHGAP24;SMAD7;GPRIN3;NFIA;BCL6;CDH13;MALAT1;NAF1;ZFPM2;MET;IL18R1
RUNX2 24764292 ChIP-Seq MC3T3 Mouse	37/2000	0.10235018864071706	0.23731747036473957	0	0	1.2761002204913028	2.908685576036301	NOTCH3;LRP1;NOD1;SNX30;LTBP1;CDC14A;ZFP36L1;SPP1;AOX1;NCAM1;LRRFIP1;TRPM6;SAMD4;ZFP462;EPHA4;TCF7L2;ST6GAL1;ANXA2;IGFBP5;EYA1;MYOF;PLCL2;FMO1;PLXDC2;PTPN13;PTPN14;VEGFA;GPRIN3;NFIA;PTK7;PITPNM3;MYO5C;TTC3;SCGB1A1;COL8A1;SDC1;MALAT1
GATA2 21186366 ChIP-Seq BM-HSCs Mouse	37/2000	0.10235018864071706	0.23731747036473957	0	0	1.2761002204913028	2.908685576036301	CYFIP2;PCSK1;RAB3C;DDC;LRP1;PREP;NTN4;GSTT1;PTPRK;AHR;CPLX2;EGFR;ZFP36L1;SYNE1;UTP20;ASCC2;STXBP6;E2F7;GABRP;PPP1R14C;SYT1;DAPK1;COL23A1;PRKCA;RASSF9;TC2N;ESR1;MYO1D;EML5;CCDC88A;AHI1;KITL;WNK2;PITPNM3;SDC1;ZFPM2;LRP11
PU 27001747 Chip-Seq BMDM Mouse	37/2000	0.10235018864071706	0.23731747036473957	0	0	1.2761002204913028	2.908685576036301	CYFIP2;SP100;DDC;LRP1;AHR;IKZF2;LTBP1;EGFR;NPAS2;ZFP36L1;SYNE1;CDH20;RASGEF1B;DNER;AOX3;PLXNA2;AOX1;ASCC2;LRRFIP1;PPP1R14C;DST;EYA1;COL23A1;4930523C07RIK;ESR1;DNM3;CCDC88A;FAM135A;BCL6;PTK7;PITPNM3;TTC3;BCL2;RARB;PAM;IL18R1;LRP11
NANOG 18692474 ChIP-Seq MESCs Mouse	54/3052	0.1028176378405821	0.2375312582229506	0	0	1.2279778355638453	2.793401974258985	PTPRT;DOCK8;CHD7;PREP;ELAVL4;FMN1;FGF1;ROBO1;D230025D16RIK;SCD1;ST6GAL1;DST;DAPK1;CACNA2D1;MTUS1;ATP11A;ATP1B1;MDFIC;PITPNM3;CDH13;KIFC3;RAI14;DDC;KHDRBS3;EPAS1;NEDD4L;SEMA3E;NOD1;LPP;LTBP1;ZFP36L1;DPP4;PTPRZ1;PALMD;TSPAN9;SPP1;PLXNA2;DMD;NCAM1;ASCC2;ZFP462;GABRP;TCF7L2;EYA1;PTPN13;DHRS3;SMAD7;NFASC;KITL;PPP2R2B;SLCO4C1;SCGB1A1;PDE7A;PAM
ETS2 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse	6/215	0.104373156587312	0.2402480295264309	0	0	1.9098257589365906	4.315791319694753	NOTCH3;POR;SWAP70;PRDM16;NEDD4L;NCAM1
SOX2 18692474 ChIP-Seq MESCs Mouse	58/3319	0.10999075960742834	0.2522614160561672	0	0	1.2132825890283891	2.6781501457207835	ARHGAP8;DOCK8;CHD7;PREP;ELAVL4;PSIP1;TSPAN11;D230025D16RIK;SCD1;MAGI1;EPHA4;ST6GAL1;DST;CACNA2D1;MTUS1;ATP11A;ATP1B1;DNAJC6;CDH13;KIFC3;RAI14;DDC;KHDRBS3;EPAS1;NEDD4L;FIGN;SEMA3E;NOD1;CACNA1C;LPP;ZFP36L1;DPP4;PTPRZ1;PALMD;SPP1;PLXNA2;DMD;NCAM1;ASCC2;ACSS1;SCN3A;ZFP462;GABRP;TCF7L2;EYA1;EYA2;SMAD6;PTPN13;ARHGAP24;SMAD7;NFASC;KITL;PTK7;MYO5C;SLCO4C1;SCGB1A1;BCL2;PDE7A
PPARG 19300518 ChIP-PET 3T3-L1 Mouse	7/272	0.11469963248546956	0.2621114345245568	0	0	1.75823210131817	3.8073434120235667	POR;PCX;PON2;MGST1;AOX1;SMAD6;VEGFA
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	13/599	0.11600101664548099	0.2641318112826959	0	0	1.4827024511324853	3.1939728613155274	NFIX;SWAP70;PRKCA;HNMT;DHRS3;RAP1GAP;AHI1;PTK7;IRAK2;CLIP4;EPSTI1;SPP1;RAI14
EGR1 23403033 ChIP-Seq LIVER Mouse	19/944	0.1166383057828079	0.2646309948405642	0	0	1.3773899613899614	2.9595668683628706	SP100;DDC;MAOB;DAPK2;MTUS1;MGST1;ASAP3;FMO2;GSTT1;ESR1;SELENBP1;CLDN10;AHI1;PALMD;RASGEF1B;AGMO;CCDC141;SLC18A1;ALDH1A7
SALL4 18804426 ChIP-ChIP MESCs Mouse	21/1062	0.11725393298726956	0.2650776413605058	0	0	1.3540522049219414	2.902293543672759	GABRB3;EPHA4;EYA1;CACNA2D1;DOCK8;WWC2;PDE3B;PSIP1;FGF1;LPP;DHRS3;ZFP36L1;SMAD7;TCERG1L;TSPAN9;SLCO4C1;SPP1;CDH13;KIFC3;CPEB2;RAI14
EGR1 19032775 ChIP-ChIP M12 Human	7/276	0.12121407301408005	0.27305518938758955	0	0	1.7317309161277181	3.6542935539202057	NFIX;PAK6;PTPN13;SLC18A1;EGFR;IL18R1;SLC8A1
SMAD1 18555785 ChIP-Seq MESCs Mouse	13/610	0.12805167485030794	0.28667939280838023	0	0	1.4545454545454546	2.9895583807466934	DDC;PON2;ELAVL4;ATP1B1;SMAD6;ZFP36L1;SMAD7;PITPNM3;KIF5B;D230025D16RIK;SPP1;KIFC3;RUNX1T1
MYC 19915707 ChIP-ChIP AK7 Human	52/2979	0.12816788019711153	0.28667939280838023	0	0	1.2064804991638645	2.4786108026662603	WWC2;ELAVL4;SLC8A1;D230025D16RIK;DNER;SCN9A;SCD1;LRRFIP1;SLC18A1;SLC38A1;IGFBP5;VWF;SWAP70;MTUS1;PRKCA;OSMR;UPK3A;RUNX1;EML5;MDFIC;DNAJC6;LCP1;ZFPM2;MET;PON3;DDC;NLGN1;PCX;NEDD4L;NOL4;LPP;LTBP1;SELENBP1;STOX2;FUT8;PTPRZ1;PALMD;CYP2F2;CD55;SAMD4;TCF7L2;AUTS2;LRBA;MICAL3;ARHGAP29;PLXDC2;PTPN14;ARHGAP24;VEGFA;AHI1;PPP2R2B;WNK2
ESR1 17901129 ChIP-ChIP LIVER Mouse	10/444	0.13072615412428007	0.2913720266220749	0	0	1.5361248863871924	3.1254773761466317	DPP4;DDC;BCL6;SH2D4A;LRP1;EPAS1;MTUS1;MGST1;FMO2;KIFC3
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human	36/2000	0.13908804655638413	0.30570393566038595	0	0	1.2361905941935833	2.438569049025615	YAP1;PON3;RBM47;NOD1;PTPRK;FGF1;SLC4A4;SLC8A1;RAP1GAP;ZFP36L1;DPP4;ALCAM;IRAK2;EPSTI1;ASCC2;LRRFIP1;ACSS1;NCKAP5;E2F7;WWTR1;SFTPB;ANXA2;CACNA2D1;KCNJ15;PTPN14;RUNX1;SMAD7;DNM3;AHI1;CLIP4;CDH13;MALAT1;PAM;CPEB2;RAPGEF4;RAI14
NFYA 21822215 ChIP-Seq K562 Human	36/2000	0.13908804655638413	0.30570393566038595	0	0	1.2361905941935833	2.438569049025615	RYR2;PDE3B;ELAVL4;NTN4;ASAP3;FMN2;CDC14A;RAP1GAP;FAM171A1;PALMD;TSPAN9;KIF5B;PRDM16;PLXNA2;TNR;NCAM1;CD55;SOX5;RGS7;SYT1;SWAP70;MYOF;FMO1;ARHGAP29;SYT14;PROX1;PLXDC2;ATP1B1;PTPN14;DHRS3;DNM3;NFASC;TCERG1L;NFIA;DNAJC6;DOCK1
GATA3 24758297 ChIP-Seq MCF-7 Human	36/2000	0.13908804655638413	0.30570393566038595	0	0	1.2361905941935833	2.438569049025615	SP100;SH2D4A;PDE3B;MGST1;FMN1;FMN2;IKZF2;IQGAP2;LPP;LTBP1;ROBO1;LRRFIP1;CD55;MAGI1;ABCC3;GPR39;GABRP;PPP1R14C;ANXA2;EYA1;DAPK1;ATP8B1;LRBA;MYOF;REV1;KCNJ15;DCLK2;PROX1;ATP1B1;ESR1;BMP5;SMAD7;PARD3B;CLIP4;SPATS2L;MALAT1
GATA4 25053715 ChIP-Seq YYC3 Human	36/2000	0.13908804655638413	0.30570393566038595	0	0	1.2361905941935833	2.438569049025615	YAP1;ARHGAP8;EPAS1;FMN1;IKZF2;IQGAP2;HNMT;ROBO1;DPP4;MECOM;IRAK2;KIF5B;CTSH;AOX1;ACSS1;SCN3A;CD55;ATP6V1C2;SLC38A1;PTPRN2;ANXA2;DAPK1;DENND4A;LRBA;MYOF;OSMR;TC2N;ATP1B1;CP;DHRS3;CYP39A1;CCDC88A;FAM135A;BCL6;RARB;MALAT1
NANOG 18700969 ChIP-ChIP MESCs Mouse	8/344	0.14536006718387637	0.3183838149736808	0	0	1.5844378988708885	3.0556540721426586	DPP4;WWTR1;TSPAN9;DNAJC6;SPP1;GSTT1;NCAM1;SCD1
TP63 22573176 ChIP-Seq HFKS Human	71/4229	0.14972108926425895	0.32680499829060655	0	0	1.1640559732664997	2.210520316589673	DOCK8;PREP;FMN1;SLC8A1;KIF5B;SCN9A;CTSH;TNR;NRCAM;LRRFIP1;RNF152;SLC18A1;MAGI1;ABCC3;SRRM3;ANXA2;DAPK2;SWAP70;MYOF;MTUS1;CACNA2D3;PRKCA;OSMR;ATP1B1;EML5;CLDN10;POR;KIFC3;XIST;DOCK1;MET;RAPGEF4;NFIX;EPAS1;NRXN1;HSPA4L;NTN4;NEDD4L;CPLX2;LPP;EGFR;RAP1GAP;STOX2;PALMD;IRAK2;CDH20;DMD;ASCC2;ATP6V1C2;WWTR1;PCDH9;LRBA;MICAL3;KCNJ15;DCLK2;FMO1;PLXDC2;SMAD6;MEIS2;SMAD7;GNAO1;NFASC;FGF14;FRAS1;NFIA;PTK7;PPP2R2B;WNK2;SDC1;SPATS2L;LRP11
ASH2L 23239880 ChIP-Seq MESCs Mouse	57/3336	0.15031921010534693	0.3269830240435897	0	0	1.1796254149244252	2.2353832942634133	CHD7;PREP;ELAVL4;PTPRK;SLC4A5;D230025D16RIK;EPHA4;VWF;DST;DAPK1;LIMCH1;SWAP70;MYOF;MTUS1;ATP1B1;TCERG1L;DNAJC6;CDH13;MALAT1;KIFC3;MCTP2;DDC;EPAS1;HSPA4L;ASAP3;CACNA1A;SEMA3E;IQGAP2;NOL4;ZFP36L1;DPP4;SELENBP1;TSPAN9;SPP1;ASCC2;CD55;E2F7;RUNX1T1;ZFP462;TMEM132D;SMAD3;EYA1;LRBA;PLCL2;DCLK2;SMAD6;PTPN13;MEIS2;PTPN14;ACSF2;SMAD7;NET1;KITL;PTK7;TTC3;SCGB1A1;SDC1
VDR 24763502 ChIP-Seq THP-1 Human	24/1288	0.1565533816398313	0.33937770745894935	0	0	1.2729804372842348	2.360561751044295	PCSK1;SH2D4A;EYA1;COL23A1;WWC2;CHD7;NFATC2;PPP2R3A;CPLX2;LPP;RUNX1;PKHD1;MYO1D;BCL6;PLXNA2;BCL2;TNR;MALAT1;TOX;MCTP2;PDE7A;CPEB2;SNTB1;RUNX1T1
ZFP281 18358816 ChIP-ChIP MESCs Mouse	12/578	0.15892849320980995	0.343350635501057	0	0	1.4135506827052118	2.5999450516030227	YAP1;NFIA;DST;PTK7;SLCO4C1;FMN1;KIFC3;ZFPM2;SNX30;RUNX1;ZFP36L1;SMAD7
NANOG 18358816 ChIP-ChIP MESCs Mouse	23/1232	0.1607010534485761	0.34599920691479136	0	0	1.2746071133167907	2.3302487707326827	ZFP521;DST;EYA1;DAPK1;CACNA2D1;MTUS1;FIGN;SYT14;CACNA1C;ATP1B1;LPP;DHRS3;ZFP36L1;ALCAM;TSPAN9;CDH20;PPP2R2B;SPP1;AOX1;SCD1;KIFC3;RUNX1T1;RAI14
HOXD13 18407260 ChIP-ChIP DEVELOPING-LIMBS Mouse	5/196	0.17093711886941257	0.3667904957435192	0	0	1.7371870214054208	3.068670545063002	GABRB3;RAB3C;NLGN1;NTN4;NOL4
LMO2 26923725 Chip-Seq MACROPHAGESS Mouse	10/473	0.17287975058513658	0.36970568283916033	0	0	1.4377424200527626	2.5234665618811025	GABRB3;SH2D4A;DAPK1;CDH20;LRBA;CDH13;MALAT1;PTPN13;RUNX1;HCN1
SIN3A 21632747 ChIP-Seq MESCs Mouse	22/1186	0.17463852505970168	0.3722093816928996	0	0	1.2648219137295769	2.207161053527672	NOTCH3;SNAP25;SLC38A1;PTPRN2;LRP1;LRBA;CADPS;CELF4;CACNA1A;SNX30;ZFP809;SMAD7;RIMS2;AHI1;PCLO;PPP2R2B;D230025D16RIK;TTC3;COL8A1;NCAM1;SCD1;ACSS1
NANOG 16153702 ChIP-ChIP HESCs Human	30/1686	0.1822927028147838	0.38503952426972904	0	0	1.2152497171488605	2.068527130202459	YAP1;NFIX;SEMA3A;NEDD4L;CACNA1A;RORB;FGF1;NPAS2;ZFP36L1;ALCAM;ATP7B;ASCC2;MPDZ;SOX5;RUNX1T1;EPHA4;WWTR1;TCF7L2;SMAD3;CACNA2D1;PROX1;PPP2R3A;DHRS3;BMP5;PEX5L;NFIA;SLCO4C1;COL8A1;RARB;COL4A5
FOXO1 25302145 ChIP-Seq T-LYMPHOCYTE Mouse	35/2000	0.1843080187262684	0.38503952426972904	0	0	1.196622715706685	2.0236648035051794	CYFIP2;SP100;LRP1;DOCK8;ASAP3;IQGAP2;CDC14A;NPAS2;ZFP36L1;SMPD3;SELENBP1;FUT8;LRRFIP1;ACSS1;CD55;TMEM132D;ST6GAL1;SMAD3;DENND4A;PLCL2;MICAL3;4930523C07RIK;ACSF2;RUNX1;SMAD7;GPRIN3;DNM3;NFIA;BCL6;SPATS2L;MALAT1;TOX;PDE7A;IL18R1;SNTB1
OLIG2 26023283 ChIP-Seq AINV15 Mouse	35/2000	0.1843080187262684	0.38503952426972904	0	0	1.196622715706685	2.0236648035051794	ZFP521;WWC2;ELAVL4;NTN4;CACNA1A;SEMA3E;IQGAP2;KIF5B;PLXNA2;NCAM1;SCD1;RUNX1T1;MAGI1;TMEM132D;TCF7L2;DST;LIMCH1;EYA2;MTUS1;REV1;CACNA2D3;FMO2;PROX1;PPP2R3A;MEIS2;PTPN14;DHRS3;PEX5L;NFASC;FGF14;KITL;PTK7;MALAT1;RAPGEF4;LRP11
GATA6 25053715 ChIP-Seq YYC3 Human	35/2000	0.1843080187262684	0.38503952426972904	0	0	1.196622715706685	2.0236648035051794	YAP1;RBM47;SH2D4A;NTN4;FMN1;AHR;IQGAP2;CDC14A;ROBO1;RIMS2;ALCAM;KIF5B;PLXNA2;NRCAM;ACSS1;CD55;GABRP;ANXA2;PCDH9;ATP8B1;MYOF;CACNA2D3;PRKCA;PROX1;ATP1B1;PTPN14;DHRS3;ACSF2;RUNX1;SMAD7;SDC1;SPATS2L;RARB;MALAT1;KIFC3
NFYB 21822215 ChIP-Seq K562 Human	35/2000	0.1843080187262684	0.38503952426972904	0	0	1.196622715706685	2.0236648035051794	RYR2;PDE3B;ELAVL4;ASAP3;FMN2;TSPAN11;CDC14A;RAP1GAP;FAM171A1;PALMD;KIF5B;PRDM16;PLXNA2;TNR;NCAM1;CD55;SOX5;RGS7;SWAP70;MYOF;ARHGAP29;RASSF9;SYT14;PROX1;PLXDC2;ATP1B1;PTPN14;DHRS3;DNM3;NFASC;FGF14;TCERG1L;NFIA;DNAJC6;DOCK1
SOX3 22085726 ChIP-Seq NPCs Mouse	35/2000	0.1843080187262684	0.38503952426972904	0	0	1.196622715706685	2.0236648035051794	GABRB3;RAB3C;ZFP521;HSPA4L;CHD7;CACNA1A;FMN2;SNX30;EGFR;CDC14A;SEL1L3;SMPD3;PTPRZ1;PALMD;SCD1;RUNX1T1;MAGI1;SFTPB;TCF7L2;ANXA2;AUTS2;LIMCH1;CACNA2D1;4930523C07RIK;PRKCA;PROX1;PTPN13;PARD3B;CYP39A1;POR;PEX5L;FAM135A;FRAS1;MALAT1;NAF1
GATA3 20176728 ChIP-ChIP TSCs Mouse	16/834	0.18545781893248797	0.38616710323771347	0	0	1.3051223789817448	2.19903699700906	PTPRT;RYR2;ST6GAL1;DDC;DAPK1;PREP;MICAL3;4930523C07RIK;AHR;FGF1;UPK3A;ST18;STOX2;WNK2;AOX1;CDH13
VDR 20736230 ChIP-Seq LYMPHOBLASTOID Human	10/483	0.1887593240035695	0.3917315854409808	0	0	1.4066146294359057	2.345223946588811	PTPRT;PEX5L;FRAS1;AUTS2;SCGB1A1;AOX1;XIST;LPP;SLC4A5;VEGFA
SIN3B 21632747 ChIP-Seq MESCs Mouse	71/4302	0.18936787542644568	0.3917315854409808	0	0	1.138598979130644	1.8947012584212952	GABRB3;RYR2;SNAP25;ZFP521;DOCK8;CELF4;FMN1;PTPRK;FGF1;SMPD3;RIMS2;PCLO;NETO1;KIF5B;D230025D16RIK;EPSTI1;TNR;NRCAM;SCD1;SRRM3;IGFBP5;VWF;DST;PRKCA;CYP39A1;POR;TCERG1L;DNAJC6;PITPNM3;COL8A1;KIFC3;NOTCH3;NFIX;NRXN1;CACNA1A;CPLX2;NOL4;RAP1GAP;FUT8;PTPRZ1;PRDM16;NCAM1;CCDC141;SCN3A;CD55;E2F7;PTPRN2;AUTS2;ATP8B1;EYA2;CADPS;KCNJ15;DCLK2;FMO1;PLXDC2;SMAD6;PTPN13;PTPN14;ARHGAP24;GNAO1;MYO1D;CCDC88A;AHI1;PEX5L;FGF14;RIMBP2;B430010I23RIK;CPEB2;SNTB1;LRP11;HCN1
